NAME	Description	GSM3118997	GSM3118998	GSM3118999	GSM3119000	GSM3119001	GSM3119002	GSM3119003	GSM3119004	GSM3119005	GSM3119006	GSM3119007	GSM3119008	GSM3119009	GSM3119010	GSM3119011	GSM3119012	GSM3119013	GSM3119014	GSM3119015	GSM3119016
ENSMUSG00000018565	N/A	2007.7	1920	1957.4	1873.1	1866.6	1949.8	1903.1	1777.7	1930	1800.3	2023	1841.3	1747.7	1962.6	1822.6	2057.9	1959	1930.5	1792.8	1790
ENSMUSG00000018566	N/A	13.45	25.837	30.09	20.1	43.607	21.69	16.421	24.634	37.116	33.495	16.515	21.868	16.588	43.194	16.379	8.6893	21.494	16.024	18.007	27.141
ENSMUSG00000018567	N/A	3936.4	3974	3848.5	3919.6	4030.8	3900.8	3884.9	3932.4	3804.9	3757.9	3992.4	3860.8	4096.1	3898.3	3618.4	3761	3558.8	4093.8	3741.9	3953.5
ENSMUSG00000018570	N/A	7.9475	12.918	7.6501	12.563	7.5838	10.274	12.1	13.959	19.156	11.165	8.2573	10.934	4.7394	6.7491	8.9342	11.586	9.2117	22.623	2.8811	19.386
ENSMUSG00000018572	N/A	1458.1	1461.4	1509.1	1478.6	1635.3	1521.7	1389.8	1561	1560.1	1417	1567.5	1465.1	1571.1	1619.8	1474.1	1540.9	1443.2	1552.5	1547.2	1553.5
ENSMUSG00000018574	N/A	1448.9	1404.9	1445.9	1291.5	1323.4	1473.8	1366.4	1358.1	1404.4	1308.2	1412	1399.5	1360.2	1472.6	1405.7	1514.8	1464.7	1364	1390.9	1291.1
ENSMUSG00000018581	N/A	6.1134	6.4592	4.59	6.2814	6.6359	3.4248	5.1857	24.634	4.7891	3.7217	2.7524	50.296	3.5546	1.3498	5.9562	0	4.6058	8.4835	3.6014	5.1697
ENSMUSG00000018583	N/A	2603.1	2686.2	2593.4	2498.7	2769	2543.5	2528.9	2622.7	2759.7	2784.7	2826.8	2850.5	2779.7	2560.6	2593.9	2805.2	2962.3	2954.2	2858.1	2825.3
ENSMUSG00000018585	N/A	778.85	666.1	671.17	561.55	545.09	792.26	634.38	685.64	590.26	507.07	732.15	657.13	541.48	570.97	488.4	708.18	764.57	680.57	630.25	524.73
ENSMUSG00000018589	N/A	509.25	505.43	540.09	576.63	495.79	615.32	557.46	633.09	585.47	605.7	555.99	568.56	539.11	452.19	483.94	528.6	548.09	504.3	538.77	483.37
ENSMUSG00000018593	N/A	4390.1	4633.6	4563	4658.3	4669.7	4900.8	5208.1	4618	5268	4415.7	4270.4	5193.6	4773.8	5114.4	4788.7	4576.4	4941.3	5027	4625.6	5411.4
ENSMUSG00000018595	N/A	2.4454	1.6148	2.55	1.2563	4.7399	1.1416	0.86428	0.82112	2.3946	1.8608	0	1.0934	0	4.0494	0	0	0	3.7705	1.4406	0
ENSMUSG00000018599	N/A	554.49	496.55	489.09	523.87	491.05	531.98	471.89	506.63	460.95	422.41	542.23	466.88	386.26	475.13	500.32	629.98	493.59	437.37	508.52	475.61
ENSMUSG00000018604	N/A	103.93	83.162	125.97	76.633	146.94	106.17	101.98	138.77	65.85	95.832	63.306	88.565	106.64	130.93	105.72	83.997	75.996	93.319	72.028	82.716
ENSMUSG00000018634	N/A	1269.8	1109.4	1255.1	1017.6	1096.8	1337.9	1128.7	1222.7	1227.2	1046.7	1091.3	881.27	862.58	996.16	774.3	1194.8	1177.6	998.23	981.74	874.98
ENSMUSG00000018648	N/A	2323.1	2365.7	2196.6	2260	2735.9	2359.7	2324.9	2299.1	2446	2736.3	2219.8	2404.4	2112.6	2331.1	2185.9	2741.5	2364.3	2323.5	2142.8	2226.9
ENSMUSG00000018651	N/A	1228.8	1409.7	1203.1	1477.4	1224.8	1286.6	1315.4	1279.3	1246.4	1176	1244.1	972.02	1207.4	1355.2	1154	1093.4	1097.7	1179.2	1091.9	1344.1
ENSMUSG00000018654	N/A	123.49	163.09	118.32	159.55	133.67	168.96	177.18	133.84	161.63	161.89	141.75	127.93	146.92	155.23	157.84	146.27	144.32	155.53	188.71	168.02
