Name	Log2ratio_Log10fdr
Frmpd1	2.059710012
Rundc1	2.057392546
Fam171a1	2.053373643
Ptpn3	2.050837366
Asap2	2.050109245
Angptl4	2.05004923
Slc1a1	2.045347725
Cdk3	2.042619902
Acer2	2.033958135
Btaf1	2.033188966
Sstr4	2.031998945
Hspa4l	2.030991738
Hnrnpc	2.028597362
Trim43a	2.024419714
Ehd3	2.024345009
Baiap2	2.024013864
P2ry1	2.023737553
Car12	2.021388185
Wdcp	2.019413737
Slc41a1	2.016620478
Ptk6	2.016037021
Gse1	2.01400797
Elovl4	2.012350709
Klf10	2.008682305
Gm11627	2.006166093
Nedd4l	1.99927113
Clmn	1.997464066
Sgms1	1.991249649
Cdipt	1.976716349
Synj2bp	1.963317075
Zfp469	1.959460279
Snw1	1.959056341
Myrip	1.957229998
Mat2a	1.9565492
Clspn	1.954823026
Srek1	1.95344991
Zfp831	1.949071192
Galm	1.946848076
Kmt5a	1.944763515
Bdnf	1.943143286
Eif3j2	1.936226678
Tmem200a	1.928593995
Nkrf	1.922959943
C2cd3	1.918555618
Snx27	1.917803764
Frmd6	1.915396228
Syt14	1.910183578
Trim14	1.906542087
Prodh	1.905376745
Ip6k2	1.90378015
Fkbp14	1.902199928
Sel1l	1.901664781
Bpnt1	1.896846503
Magt1	1.894705378
Stab1	1.893347458
Cyren	1.889173355
Gm5640	1.887481244
Tlr7	1.884903824
Clk1	1.884892504
Pxdn	1.881665141
Plk2	1.878978901
Spata2l	1.878567006
Agpat5	1.87846628
Dnd1	1.874794485
Ppp1r15b	1.871457894
Scrg1	1.861503181
Nufip2	1.858808876
Sall4	1.853476042
Eif4ebp2	1.852329905
Herpud1	1.849821423
Spice1	1.8465454
Bicd2	1.845366693
Zc3h11a	1.845164234
Usp25	1.829696099
Tgfb3	1.827102226
Prss53	1.824937105
Ina	1.823001446
Ankrd33b	1.821844926
Nedd9	1.819964489
Plet1os	1.816176513
Pigm	1.810524643
Samd9l	1.805804728
Ppp6r1	1.800716297
Wfdc1	1.797784705
Rbm12b1	1.790611761
Jade2	1.786117502
Amot	1.785456196
Ly6c2	1.78287482
Lrrc10b	1.782668471
Ubap1l	1.781368681
Arhgef37	1.772718961
Inka2	1.764978312
Uhrf2	1.759837571
Myo1e	1.753604959
F13a1	1.752847385
Hip1	1.748525161
Usp53	1.745809135
H2aw	1.744877479
Efr3a	1.744674143
Lsm14a	1.743855848
Cpt1b	1.736993644
Cop1	1.735893438
Krt7	1.735499788
Cacna1c	1.732904665
Crh	1.732194787
Tmem86b	1.727875222
Ahctf1	1.727298264
Arrdc3	1.726685661
Nat8f3	1.723644151
Junb	1.723441834
Bnipl	1.721467539
Gm13394	1.707919788
Myadm	1.703457584
Rnf150	1.702318238
Clvs2	1.700000185
Slc33a1	1.697063815
Faap100	1.696186275
Crkl	1.695521068
Hnrnpm	1.695129638
Hnrnph1	1.694926436
Dpf2	1.693317069
Amd1	1.691096768
Plpbp	1.68716733
Kcnj12	1.680478772
Adm	1.678096229
Hivep3	1.67754353
Gm17484	1.670327552
C4a	1.668527929
Ccdc169	1.666034595
Rubcnl	1.664849688
Jdp2	1.663455336
Elk1	1.660993568
Rnf165	1.659627423
Mpdz	1.65858935
Gm11190	1.654423672
Tbc1d14	1.654306818
Pld1	1.650413735
P4ha3	1.649358829
Ccdc105	1.648749279
Rere	1.648048936
Trappc13	1.642694489
Nr4a1	1.639737089
Myo1h	1.637609301
Brix1	1.63556315
Tcn2	1.635202314
Tspan31	1.634070501
Cdhr4	1.631876777
Sec14l3	1.63010351
Cd59a	1.630088596
Kazn	1.629944663
Slc12a3	1.62266153
E230029C05Rik	1.622604726
Dusp19	1.62045276
Rxra	1.619845446
Ankrd6	1.618994612
Rap2a	1.618950424
E2f6	1.618624847
Gpr17	1.617741843
Anln	1.617520243
Dhx15	1.610915484
Tanc1	1.605847259
Slc25a42	1.604301105
Mtmr12	1.603354404
Kctd8	1.601813513
Creb3l2	1.600525804
